misra1,misra2,poet
یک چشمک پیالہ ہے ساقی بہار عمر,جھپکی لگی کہ دور یہ آخر ہی ہو چکا,Meer Taqi Meer
ممکن نہیں کہ گل کرے ویسی شگفتگی,اس سرزمیں میں تخم محبت میں بو چکا,Meer Taqi Meer
پایا نہ دل بہایا ہوا سیل اشک کا,میں پنجۂ مژہ سے سمندر بلو چکا,Meer Taqi Meer
ہر صبح حادثے سے یہ کہتا ہے آسماں,دے جام خون میرؔ کو گر منہ وہ دھو چکا,Meer Taqi Meer
گرمی سے میں تو آتش غم کی پگھل گیا,راتوں کو روتے روتے ہی جوں شمع گل گیا,Meer Taqi Meer
ہم خستہ دل ہیں تجھ سے بھی نازک مزاج تر,تیوری چڑھائی تو نے کہ یاں جی نکل گیا,Meer Taqi Meer
گرمئ عشق مانع نشوونما ہوئی,میں وہ نہال تھا کہ اگا اور جل گیا,Meer Taqi Meer
مستی میں چھوڑ دیر کو کعبے چلا تھا میں,لغزش بڑی ہوئی تھی ولیکن سنبھل گیا,Meer Taqi Meer
ساقی نشے میں تجھ سے لنڈھا شیشۂ شراب,چل اب کہ دخت تاک کا جوبن تو ڈھل گیا,Meer Taqi Meer
ہر ذرہ خاک تیری گلی کی ہے بے قرار,یاں کون سا ستم زدہ ماٹی میں رل گیا,Meer Taqi Meer
عریاں تنی کی شوخی سے دیوانگی میں میرؔ,مجنوں کے دشت خار کا داماں بھی چل گیا,Meer Taqi Meer
دیر و حرم سے گزرے اب دل ہے گھر ہمارا,ہے ختم اس آبلے پر سیر و سفر ہمارا,Meer Taqi Meer
پلکوں سے تیری ہم کو کیا چشم داشت یہ تھی,ان برچھیوں نے بانٹا باہم جگر ہمارا,Meer Taqi Meer
دنیا و دیں کی جانب میلان ہو تو کہیے,کیا جانیے کہ اس بن دل ہے کدھر ہمارا,Meer Taqi Meer
ہیں تیرے آئنے کی تمثال ہم نہ پوچھو,اس دشت میں نہیں ہے پیدا اثر ہمارا,Meer Taqi Meer
جوں صبح اب کہاں ہے طول سخن کی فرصت,قصہ ہی کوئی دم کو ہے مختصر ہمارا,Meer Taqi Meer
کوچے میں اس کے جا کر بنتا نہیں پھر آنا,خون ایک دن گرے گا اس خاک پر ہمارا,Meer Taqi Meer
ہے تیرہ روز اپنا لڑکوں کی دوستی سے,اس دن ہی کو کہے تھا اکثر پدر ہمارا,Meer Taqi Meer
سیلاب ہر طرف سے آئیں گے بادیے میں,جوں ابر روتے ہوگا جس دم گزر ہمارا,Meer Taqi Meer
نشوونما ہے اپنی جوں گرد باد انوکھی,بالیدہ خاک رہ سے ہے یہ شجر ہمارا,Meer Taqi Meer
یوں دور سے کھڑے ہو کیا معتبر ہے رونا,دامن سے باندھ دامن اے ابر تر ہمارا,Meer Taqi Meer
جب پاس رات رہنا آتا ہے یاد اس کا,تھمتا نہیں ہے رونا دو دوپہر ہمارا,Meer Taqi Meer
اس کارواں سرا میں کیا میرؔ بار کھولیں,یاں کوچ لگ رہا ہے شام و سحر ہمارا,Meer Taqi Meer
ویسا کہاں ہے ہم سے جیسا کہ آگے تھا تو,اوروں سے مل کے پیارے کچھ اور ہو گیا تو,Meer Taqi Meer
چالیں تمام بے ڈھب باتیں فریب ہیں سب,حاصل کہ اے شکر لب اب وہ نہیں رہا تو,Meer Taqi Meer
جاتے نہیں اٹھائے یہ شور ہر سحر کے,یا اب چمن میں بلبل ہم ہی رہیں گے یا تو,Meer Taqi Meer
آ ابر ایک دو دم آپس میں رکھیں صحبت,کڑھنے کو ہوں میں آندھی رونے کو ہے بلا تو,Meer Taqi Meer
تقریب پر بھی تو تو پہلو تہی کرے ہے,دس بار عید آئی کب کب گلے ملا تو,Meer Taqi Meer
تیرے دہن سے اس کو نسبت ہو کچھ تو کہیے,گل گو کرے ہے دعویٰ خاطر میں کچھ نہ لا تو,Meer Taqi Meer
دل کیونکے راست آوے دعواے آشنائی,دریائے حسن وہ مہ کشتی بکف گدا تو,Meer Taqi Meer
ہر فرد یاس ابھی سے دفتر ہے تجھ گلے کا,ہے قہر جب کہ ہوگا حرفوں سے آشنا تو,Meer Taqi Meer
عالم ہے شوق کشتۂ خلقت ہے تیری رفتہ,جانوں کی آرزو تو آنکھوں کا مدعا تو,Meer Taqi Meer
منہ کریے جس طرف کو سو ہی تری طرف ہے,پر کچھ نہیں ہے پیدا کیدھر ہے اے خدا تو,Meer Taqi Meer
آتی بہ خود نہیں ہے باد بہار اب تک,دو گام تھا چمن میں ٹک ناز سے چلا تو,Meer Taqi Meer
کم میری اور آنا کم آنکھ کا ملانا,کرنے سے یہ ادائیں ہے مدعا کہ جا تو,Meer Taqi Meer
گفت و شنود اکثر میرے ترے رہے ہے,ظالم معاف رکھیو میرا کہا سنا تو,Meer Taqi Meer
کہہ سانجھ کے موئے کو اے میرؔ روئیں کب تک,جیسے چراغ مفلس اک دم میں جل بجھا تو,Meer Taqi Meer
ناز چمن وہی ہے بلبل سے گو خزاں ہے,ٹہنی جو زرد بھی ہے سو شاخ زعفراں ہے,Meer Taqi Meer
گر اس چمن میں وہ بھی اک ہی لب و دہاں ہے,لیکن سخن کا تجھ سے غنچے کو منہ کہاں ہے,Meer Taqi Meer
ہنگام جلوہ اس کے مشکل ہے ٹھہرے رہنا,چتون ہے دل کی آفت چشمک بلائے جاں ہے,Meer Taqi Meer
پتھر سے توڑنے کے قابل ہے آرسی تو,پر کیا کریں کہ پیارے منہ تیرا درمیاں ہے,Meer Taqi Meer
باغ و بہار ہے وہ میں کشت‌ زعفراں ہوں,جو لطف اک ادھر ہے تو یاں بھی اک سماں ہے,Meer Taqi Meer
ہر چند ضبط کریے چھپتا ہے عشق کوئی,گزرے ہے دل پہ جو کچھ چہرے ہی سے عیاں ہے,Meer Taqi Meer
اس فن میں کوئی بے تہہ کیا ہو مرا معارض,اول تو میں سند ہوں پھر یہ مری زباں ہے,Meer Taqi Meer
عالم میں آب و گل کا ٹھہراؤ کس طرح ہو,گر خاک ہے اڑے ہے ور آب ہے رواں ہے,Meer Taqi Meer
چرچا رہے گا اس کا تا حشر مے کشاں میں,خوں ریزی کی ہماری رنگین داستاں ہے,Meer Taqi Meer
از خویش رفتہ اس بن رہتا ہے میرؔ اکثر,رہتے ہو بات کس سے وہ آپ میں کہاں ہے,Meer Taqi Meer
مشہور ہیں دنوں کی مرے بے قراریاں,جاتی ہیں لا مکاں کو دل شب کی زاریاں,Meer Taqi Meer
چہرے پہ جیسے زخم ہے ناخن کا ہر خراش,اب دیدنی ہوئی ہیں مری دستکاریاں,Meer Taqi Meer
سو بار ہم نے گل کے گئے پر چمن کے بیچ,بھر دی ہیں آب چشم سے راتوں کو کیاریاں,Meer Taqi Meer
کشتے کی اس کے خاک بھرے جسم زار پر,خالی نہیں ہیں لطف سے لوہو کی دھاریاں,Meer Taqi Meer
تربت سے عاشقوں کے نہ اٹھا کبھو غبار,جی سے گئے ولے نہ گئیں راز داریاں,Meer Taqi Meer
اب کس کس اپنی خواہش مردہ کو روئیے,تھیں ہم کو اس سے سینکڑوں امیدواریاں,Meer Taqi Meer
پڑھتے پھریں گے گلیوں میں ان ریختوں کو لوگ,مدت رہیں گی یاد یہ باتیں ہماریاں,Meer Taqi Meer
کیا جانتے تھے ایسے دن آ جائیں گے شتاب,روتے گذرتیاں ہیں ہمیں راتیں ساریاں,Meer Taqi Meer
گل نے ہزار رنگ سخن سر کیا ولے,دل سے گئیں نہ باتیں تری پیاری پیاریاں,Meer Taqi Meer
جاؤ گے بھول عہد کو فرہاد و قیس کے,گر پہنچیں ہم شکستہ دلوں کی بھی باریاں,Meer Taqi Meer
بچ جاتا ایک رات جو کٹ جاتی اور میرؔ,کاٹیں تھیں کوہ کن نے بہت راتیں بھاریاں,Meer Taqi Meer
فلک کرنے کے قابل آسماں ہے,کہ یہ پیرانہ سر جاہل جواں ہے,Meer Taqi Meer
گئے ان قافلوں سے بھی اٹھی گرد,ہماری خاک کیا جانیں کہاں ہے,Meer Taqi Meer
بہت نا مہرباں رہتا ہے یعنی,ہمارے حال پر کچھ مہرباں ہے,Meer Taqi Meer
ہمیں جس جائے کل غش آ گیا تھا,وہیں شاید کہ اس کا آستاں ہے,Meer Taqi Meer
مژہ ہر اک ہے اس کی تیز ناوک,خمیدہ بھوں جو ہے زوریں کماں ہے,Meer Taqi Meer
اسے جب تک ہے تیر اندازی کا شوق,زبونی پر مری خاطر نشاں ہے,Meer Taqi Meer
چلی جاتی ہے دھڑکوں ہی میں جاں بھی,یہیں سے کہتے ہیں جاں کو رواں ہے,Meer Taqi Meer
اسی کا دم بھرا کرتے رہیں گے,بدن میں اپنے جب تک نیم جاں ہے,Meer Taqi Meer
پڑا ہے پھول گھر میں کاہے کو میرؔ,جھمک ہے گل کی برق آشیاں ہے,Meer Taqi Meer
دہر بھی میرؔ طرفہ مقتل ہے,جو ہے سو کوئی دم کو فیصل ہے,Meer Taqi Meer
کثرت غم سے دل لگا رکنے,حضرت دل میں آج دنگل ہے,Meer Taqi Meer
روز کہتے ہیں چلنے کو خوباں,لیکن اب تک تو روز اول ہے,Meer Taqi Meer
چھوڑ مت نقد وقت نسیہ پر,آج جو کچھ ہے سو کہاں کل ہے,Meer Taqi Meer
بند ہو تجھ سے یہ کھلا نہ کبھو,دل ہے یا خانۂ مقفل ہے,Meer Taqi Meer
سینہ چاکی بھی کام رکھتی ہے,یہی کر جب تلک معطل ہے,Meer Taqi Meer
اب کے ہاتھوں میں شوق کے تیرے,دامن بادیہ کا آنچل ہے,Meer Taqi Meer
ٹک گریباں میں سر کو ڈال کے دیکھ,دل بھی کیا لق و دق جنگل ہے,Meer Taqi Meer
ہجر باعث ہے بد گمانی کا,غیرت عشق ہے تو کب کل ہے,Meer Taqi Meer
مر گیا کوہ کن اسی غم میں,آنکھ اوجھل پہاڑ اوجھل ہے,Meer Taqi Meer
ڈھب ہیں تیرے سے باغ میں گل کے,بو گئی کچھ دماغ میں گل کے,Meer Taqi Meer
جائے روغن دیا کرے ہے عشق,خون بلبل چراغ میں گل کے,Meer Taqi Meer
دل تسلی نہیں صبا ورنہ,جلوے سب ہیں گے داغ میں گل کے,Meer Taqi Meer
اس حدیقے کے عیش پر مت جا,مے نہیں ہے ایاغ میں گل کے,Meer Taqi Meer
سیر کر میرؔ اس چمن کی شتاب,ہے خزاں بھی سراغ میں گل کے,Meer Taqi Meer
نالۂ عجز نقص الفت ہے,رنج و محنت کمال راحت ہے,Meer Taqi Meer
عشق ہی گریۂ ندامت ہے,ورنہ عاشق کو چشم خفت ہے,Meer Taqi Meer
تا دم مرگ غم خوشی کا نہیں,دل آزردہ گر سلامت ہے,Meer Taqi Meer
دل میں ناسور پھر جدھر چاہے,ہر طرف کوچۂ جراحت ہے,Meer Taqi Meer
رونا آتا ہے دم بدم شاید,کسو حسرت کی دل سے رخصت ہے,Meer Taqi Meer
فتنے رہتے ہیں اس کے سائے میں,قد و قامت ترا قیامت ہے,Meer Taqi Meer
نہ تجھے رحم نے اسے ٹک صبر,دل پہ میرے عجب مصیبت ہے,Meer Taqi Meer
تو تو نادان ہے نپٹ ناصح,کب مؤثر تری نصیحت ہے,Meer Taqi Meer
دل پہ جب میرے آ کے یہ ٹھہرا,کہ مجھے خوش دلی اذیت ہے,Meer Taqi Meer
رنج و محنت سے باز کیونکے رہوں,وقت جاتا رہے تو حسرت ہے,Meer Taqi Meer
کیا ہے پھر کوئی دم کو کیا جانو,دم غنیمت میاں جو فرصت ہے,Meer Taqi Meer
تیرا شکوہ مجھے نہ میرا تجھے,چاہیے یوں جو فی الحقیقت ہے,Meer Taqi Meer
تجھ کو مسجد ہے مجھ کو مے خانہ,واعظا اپنی اپنی قسمت ہے,Meer Taqi Meer
ایسے ہنس مکھ کو شمع سے تشبیہ,شمع مجلس کی رونی صورت ہے,Meer Taqi Meer
باطل السحر دیکھ باطل تھے,تیری آنکھوں کا سحر آفت ہے,Meer Taqi Meer
ابر تر کے حضور پھوٹ بہا,دیدۂ تر کو میرے رحمت ہے,Meer Taqi Meer
گاہ نالاں تپاں گہے بے دم,دل کی میرے عجب ہی حالت ہے,Meer Taqi Meer
کیا ہوا گر غزل قصیدہ ہوئی,عاقبت قصۂ محبت ہے,Meer Taqi Meer
تربت میرؔ پر ہیں اہل سخن,ہر طرف حرف ہے حکایت ہے,Meer Taqi Meer
تو بھی تقریب فاتحہ سے چل,بخدا واجب الزیارت ہے,Meer Taqi Meer
دن نہیں رات نہیں صبح نہیں شام نہیں,وقت ملنے کا مگر داخل ایام نہیں,Meer Taqi Meer
مثل عنقا مجھے تم دور سے سن لو ورنہ,ننگ ہستی ہوں مری جائے بجز نام نہیں,Meer Taqi Meer
خطر راہ وفا بلکہ بہت دور کھنچا,عمر گزری کہ بہم نامہ و پیغام نہیں,Meer Taqi Meer
راز پوشی محبت کے تئیں چاہیے ضبط,سو تو بے تابئ دل بن مجھے آرام نہیں,Meer Taqi Meer
بے قراری جو کوئی دیکھے ہے سو کہتا ہے,کچھ تو ہے میرؔ کہ اک دم تجھے آرام نہیں,Meer Taqi Meer
کعبے میں جاں بہ لب تھے ہم دوریٔ بتاں سے,آئے ہیں پھر کے یارو اب کے خدا کے ہاں سے,Meer Taqi Meer
تصویر کے سے طائر خاموش رہتے ہیں ہم,جی کچھ اچٹ گیا ہے اب نالہ و فغاں سے,Meer Taqi Meer
جب کوندتی ہے بجلی تب جانب گلستاں,رکھتی ہے چھیڑ میرے خاشاک آشیاں سے,Meer Taqi Meer
کیا خوبی اس کے منہ کی اے غنچہ نقل کریے,تو تو نہ بول ظالم بو آتی ہے وہاں سے,Meer Taqi Meer
آنکھوں ہی میں رہے ہو دل سے نہیں گئے ہو,حیران ہوں یہ شوخی آئی تمہیں کہاں سے,Meer Taqi Meer
سبزان باغ سارے دیکھے ہوئے ہیں اپنے,دلچسپ کاہے کو ہیں اس بے وفا جواں سے,Meer Taqi Meer
کی شست و شوبدن کی جس دن بہت سی ان نے,دھوئے تھے ہاتھ میں نے اس دن ہی اپنی جاں سے,Meer Taqi Meer
خاموشی ہی میں ہم نے دیکھی ہے مصلحت اب,ہر یک سے حال دل کا مدت کہا زباں سے,Meer Taqi Meer
اتنی بھی بد مزاجی ہر لحظہ میرؔ تم کو,الجھاؤ ہے زمیں سے جھگڑا ہے آسماں سے,Meer Taqi Meer
جو یہ دل ہے تو کیا سرانجام ہوگا,تا خاک بھی خاک آرام ہوگا,Meer Taqi Meer
مرا جی تو آنکھوں میں آیا یہ سنتے,کہ دیدار بھی ایک دن عام ہوگا,Meer Taqi Meer
نہ ہوگا وہ دیکھا جسے کبک تو نے,وہ اک باغ کا سرو اندام ہوگا,Meer Taqi Meer
نہ نکلا کر اتنا بھی بے پردہ گھر سے,بہت اس میں ظالم تو بدنام ہوگا,Meer Taqi Meer
ہزاروں کی یاں لگ گئیں چھت سے آنکھیں,تو اے ماہ کس شب لب بام ہوگا,Meer Taqi Meer
وہ کچھ جانتا ہوگا زلفوں میں پھنسنا,جو کوئی اسیر تا‌ دام ہوگا,Meer Taqi Meer
جگر چاکی ناکامی دنیا ہے آخر,نہیں آئے جو میرؔ کچھ کام ہوگا,Meer Taqi Meer
اب میرؔ جی تو اچھے زندیق ہی بن بیٹھے,پیشانی پہ دے قشقہ زنار پہن بیٹھے,Meer Taqi Meer
آزردہ دل الفت ہم چپکے ہی بہتر ہیں,سب رو اٹھے گی مجلس جو کر کے سخن بیٹھے,Meer Taqi Meer
عریان پھریں کب تک اے کاش کہیں آ کر,تا گرد بیاباں کی بالائے بدن بیٹھے,Meer Taqi Meer
پیکان خدنگ اس کا یوں سینے کے اودھر ہے,جوں مار سیہ کوئی کاڑھے ہوئے پھن بیٹھے,Meer Taqi Meer
جز خط کے خیال اس کے کچھ کام نہیں ہم کو,سبزی پیے ہم اکثر رہتے ہیں مگن بیٹھے,Meer Taqi Meer
شمشیر ستم اس کی اب گو کا چلے ہر دم,شوریدہ سر اپنے سے ہم باندھ کفن بیٹھے,Meer Taqi Meer
بس ہو تو ادھر اودھر یوں پھرنے نہ دیں تجھ کو,ناچار ترے ہم یہ دیکھیں ہیں چلن بیٹھے,Meer Taqi Meer
دل سے شوق رخ نکو نہ گیا,جھانکنا تاکنا کبھو نہ گیا,Meer Taqi Meer
ہر قدم پر تھی اس کی منزل لیک,سر سے سودائے جستجو نہ گیا,Meer Taqi Meer
سب گئے ہوش و صبر و تاب و تواں,لیکن اے داغ دل سے تو نہ گیا,Meer Taqi Meer
دل میں کتنے مسودے تھے ولے,ایک پیش اس کے رو بہ رو نہ گیا,Meer Taqi Meer
سبحہ گرداں ہی میرؔ ہم تو رہے,دست کوتاہ تا سبو نہ گیا,Meer Taqi Meer
مر رہتے جو گل بن تو سارا یہ خلل جاتا,نکلا ہی نہ جی ورنہ کانٹا سا نکل جاتا,Meer Taqi Meer
پیدا ہے کہ پنہاں تھی آتش نفسی میری,میں ضبط نہ کرتا تو سب شہر یہ جل جاتا,Meer Taqi Meer
میں گریۂ خونیں کو روکے ہی رہا ورنہ,اک دم میں زمانے کا یاں رنگ بدل جاتا,Meer Taqi Meer
بن پوچھے کرم سے وہ جو بخش نہ دیتا تو,پرسش میں ہماری ہی دن حشر کا ڈھل جاتا,Meer Taqi Meer
استادہ جہاں میں تھا میدان محبت میں,واں رستم اگر آتا تو دیکھ کے ٹل جاتا,Meer Taqi Meer
وہ سیر کا وادی کے مائل نہ ہوا ورنہ,آنکھوں کو غزالوں کی پاؤں تلے مل جاتا,Meer Taqi Meer
بے تاب و تواں یوں میں کاہے کو تلف ہوتا,یاقوتی ترے لب کی ملتی تو سنبھل جاتا,Meer Taqi Meer
اس سیم بدن کو تھی کب تاب تعب اتنی,وہ چاندنی میں شب کی ہوتا تو پگھل جاتا,Meer Taqi Meer
مارا گیا تب گزرا بوسے سے ترے لب کے,کیا میرؔ بھی لڑکا تھا باتوں میں بہل جاتا,Meer Taqi Meer
یکسو کشادہ روی پر چیں نہیں جبیں بھی,ہم چھوڑی مہر اس کی کاش اس کو ہووے کیں بھی,Meer Taqi Meer
آنسو تو تیرے دامن پونچھے ہے وقت گریہ,ہم نے نہ رکھی منہ پر اے ابر آستیں بھی,Meer Taqi Meer
کرتا نہیں عبث تو پارہ گلو فغاں سے,گزرے ہے پار دل کے اک نالۂ حزیں بھی,Meer Taqi Meer
ہوں اہتزار میں میں آئینہ رو شتاب آ,جاتا ہے ورنہ غافل پھر دم تو واپسیں بھی,Meer Taqi Meer
سینے سے تیر اس کا جی کو تو لیتا نکلا,پر ساتھوں ساتھ اس کے نکلی اک آفریں بھی,Meer Taqi Meer
ہر شب تری گلی میں عالم کی جان جا ہے,آگے ہوا ہے اب تک ایسا ستم کہیں بھی,Meer Taqi Meer
شوخی جلوہ اس کی تسکین کیونکے بخشے,آئینوں میں دلوں کے جو ہے بھی پھر نہیں بھی,Meer Taqi Meer
گیسو ہی کچھ نہیں ہے سنبل کی آفت اس کا,ہیں برق خرمن گل رخسار آتشیں بھی,Meer Taqi Meer
تکلیف نالہ مت کر اے درد دل کہ ہوں گے,رنجیدہ راہ چلتے آزردہ ہم نشیں بھی,Meer Taqi Meer
کس کس کا داغ دیکھیں یا رب غم بتاں میں,رخصت طلب ہے جاں بھی ایمان اور دیں بھی,Meer Taqi Meer
زیر فلک جہاں ٹک آسودہ میرؔ ہوتے,ایسا نظر نہ آیا اک قطعۂ زمیں بھی,Meer Taqi Meer
یوں ہی حیران و خفا جوں غنچۂ تصویر ہوں,عمر گزری پر نہ جانا میں کہ کیوں دلگیر ہوں,Meer Taqi Meer
اتنی باتیں مت بنا مجھ شیفتے سے ناصحا,پند کے لائق نہیں میں قابل زنجیر ہوں,Meer Taqi Meer
سرخ رہتی ہیں مری آنکھیں لہو رونے سے شیخ,مے اگر ثابت ہو مجھ پر واجب ال تعزیر ہوں,Meer Taqi Meer
نے فلک پر راہ مجھ کو نے زمیں پر رو مجھے,ایسے کس محروم کا میں شور بے تاثیر ہوں,Meer Taqi Meer
جوں کماں گرچہ خمیدہ ہوں پہ چھوٹا اور وہیں,اس کے کوچے کی طرف چلنے کو یارو تیر ہوں,Meer Taqi Meer
جو مرے حصے میں آوے تیغ جمدھر سیل و کارد,یہ فضولی ہے کہ میں ہی کشتۂ‌ شمشیر ہوں,Meer Taqi Meer
کھول کر دیوان میرا دیکھ قدرت مدعی,گرچہ ہوں میں نوجواں پر شاعروں کا پیر ہوں,Meer Taqi Meer
یوں سعادت ایک جمدھر مجھ کو بھی گزاریے,منصفی کیجے تو میں تو محض بے تقصیر ہوں,Meer Taqi Meer
اس قدر بے ننگ خبطوں کو نصیحت شیخ جی,باز آؤ ورنہ اپنے نام کو میں میرؔ ہوں,Meer Taqi Meer
دامن وسیع تھا تو کاہے کو چشم ترسا,رحمت خدا کی تجھ کو اے ابر زور برسا,Meer Taqi Meer
شاید کباب کر کر کھایا کبوتر ان نے,نامہ اڑا پھرے ہے اس کی گلی میں پر سا,Meer Taqi Meer
وحشی مزاج از بس مانوس بادیہ ہیں,ان کے جنوں میں جنگل اپنا ہوا ہے گھر سا,Meer Taqi Meer
جس ہاتھ میں رہا کی اس کی کمر ہمیشہ,اس ہاتھ مارنے کا سر پر بندھا ہے کر سا,Meer Taqi Meer
سب پیچ کی یہ باتیں ہیں شاعروں کی ورنہ,باریک اور نازک مو کب ہے اس کمر سا,Meer Taqi Meer
طرز نگاہ اس کی دل لے گئی سبھوں کے,کیا مومن و برہمن کیا گبر اور ترسا,Meer Taqi Meer
تم واقف طریق بے طاقتی نہیں ہو,یاں راہ دو قدم ہے اب دور کا سفر سا,Meer Taqi Meer
کچھ بھی معاش ہے یہ کی ان نے ایک چشمک,جب مدتوں ہمارا جی دیکھنے کو ترسا,Meer Taqi Meer
ٹک ترک عشق کریے لاغر بہت ہوئے ہم,آدھا نہیں رہا ہے اب جسم رنج فرسا,Meer Taqi Meer
واعظ کو یہ جلن ہے شاید کہ فربہی سے,رہتا ہے حوض ہی میں اکثر پڑا مگر سا,Meer Taqi Meer
انداز سے ہے پیدا سب کچھ خبر ہے اس کو,گو میرؔ بے سر و پا ظاہر ہے بے خبر سا,Meer Taqi Meer
وحشت تھی ہمیں بھی وہی گھر بار سے اب تک,سر مارے ہیں اپنے در و دیوار سے اب تک,Meer Taqi Meer
مرتے ہی سنا ان کو جنہیں دل لگی کچھ تھی,اچھا ہوا کوئی اس آزار سے اب تک,Meer Taqi Meer
جب سے لگی ہیں آنکھیں کھلی راہ تکے ہیں,سوئے نہیں ساتھ اس کے کبھو پیار سے اب تک,Meer Taqi Meer
آیا تھا کبھو یار سو معمول ہم اس کے,بستر پہ گرے رہتے ہیں بیمار سے اب تک,Meer Taqi Meer
بد عہدیوں میں وقت وفات آن بھی پہنچا,وعدہ نہ ہوا ایک وفا یار سے اب تک,Meer Taqi Meer
ہے قہر و غضب دیکھ طرف کشتے کے ظالم,کرتا ہے اشارت بھی تو تلوار سے اب تک,Meer Taqi Meer
کچھ رنج دلی میرؔ جوانی میں کھنچا تھا,زردی نہیں جاتی مرے رخسار سے اب تک,Meer Taqi Meer
جب جنوں سے ہمیں توسل تھا,اپنی زنجیر پا ہی کا غل تھا,Meer Taqi Meer
بسترہ تھا چمن میں جوں بلبل,نالہ سرمایۂ توکل تھا,Meer Taqi Meer
یک نگہ کو وفا نہ کی گویا,موسم گل صفیر بلبل تھا,Meer Taqi Meer
ان نے پہچان کر ہمیں مارا,منہ نہ کرنا ادھر تجاہل تھا,Meer Taqi Meer
شہر میں جو نظر پڑا اس کا,کشتۂ ناز یا تغافل تھا,Meer Taqi Meer
اب تو دل کو نہ تاب ہے نہ قرار,یاد ایام جب تحمل تھا,Meer Taqi Meer
جا پھنسا دام زلف میں آخر,دل نہایت ہی بے تامل تھا,Meer Taqi Meer
یوں گئی قد کے خم ہوئے جیسے,عمر اک رہرو سر پل تھا,Meer Taqi Meer
خوب دریافت جو کیا ہم نے,وقت خوش میرؔ نکہت گل تھا,Meer Taqi Meer
ادھر آ کر شکار افگن ہمارا,مشبک کر گیا ہے تن ہمارا,Meer Taqi Meer
گریباں سے رہا کوتہ تو پھر ہے,ہمارے ہاتھ میں دامن ہمارا,Meer Taqi Meer
گئے جوں شمع اس مجلس میں جتنے,سبھوں پر حال ہے روشن ہمارا,Meer Taqi Meer
بلا جس چشم کو کہتے ہیں مردم,وہ ہے عین بلا مسکن ہمارا,Meer Taqi Meer
ہوا رونے سے راز دوستی فاش,ہمارا گریہ تھا دشمن ہمارا,Meer Taqi Meer
بہت چاہا تھا ابر تر نے لیکن,نہ منت کش ہوا گلشن ہمارا,Meer Taqi Meer
چمن میں ہم بھی زنجیری رہے ہیں,سنا ہوگا کبھو شیون ہمارا,Meer Taqi Meer
کیا تھا ریختہ پردہ سخن کا,سو ٹھہرا ہے یہی اب فن ہمارا,Meer Taqi Meer
نہ بہکے میکدے میں میرؔ کیوں کر,گرو سو جا ہے پیراہن ہمارا,Meer Taqi Meer
کب تلک یہ ستم اٹھائیے گا,ایک دن یوں ہی جی سے جائیے گا,Meer Taqi Meer
شکل تصویر بے خودی کب تک,کسو دن آپ میں بھی آئیے گا,Meer Taqi Meer
سب سے مل چل کہ حادثے سے پھر,کہیں ڈھونڈا بھی تو نہ پائیے گا,Meer Taqi Meer
نہ موئے ہم اسیری میں تو نسیم,کوئی دن اور باؤ کھائیے گا,Meer Taqi Meer
کہیے گا اس سے قصۂ مجنوں,یعنی پردے میں غم سنائیے گا,Meer Taqi Meer
اس کے پابوس کی توقع پر,اپنے تیں خاک میں ملایئے گا,Meer Taqi Meer
اس کے پاؤں کو جا لگی ہے حنا,خوب سے ہاتھ اسے لگایئے گا,Meer Taqi Meer
شرکت شیخ و برہمن سے میرؔ,کعبہ و دیر سے بھی جائیے گا,Meer Taqi Meer
اپنی ڈیڑھ اینٹ کی جدی مسجد,کسی ویرانے میں بنایئے گا,Meer Taqi Meer
کیا مصیبت زدہ دل مائل آزار نہ تھا,کون سے درد و ستم کا یہ طرف دار نہ تھا,Meer Taqi Meer
آدم خاکی سے عالم کو جلا ہے ورنہ,آئینہ تھا یہ ولے قابل دیدار نہ تھا,Meer Taqi Meer
دھوپ میں جلتی ہیں غربت وطنوں کی لاشیں,تیرے کوچے میں مگر سایۂ دیوار نہ تھا,Meer Taqi Meer
صد گلستاں تا یک بال تھے اس کے جب تک,طائر جاں قفس تن کا گرفتار نہ تھا,Meer Taqi Meer
حیف سمجھا ہی نہ وہ قاتل ناداں ورنہ,بے گنہ مارنے قابل یہ گنہ گار نہ تھا,Meer Taqi Meer
عشق کا جذب ہوا باعث سودا ورنہ,یوسف مصر زلیخا کا خریدار نہ تھا,Meer Taqi Meer
نرم تر موم سے بھی ہم کو کوئی دیتی قضا,سنگ چھاتی کا تو یہ دل ہمیں درکار نہ تھا,Meer Taqi Meer
رات حیران ہوں کچھ چپ ہی مجھے لگ گئی میرؔ,درد پنہاں تھے بہت پر لب اظہار نہ تھا,Meer Taqi Meer
فصل خزاں میں سیر جو کی ہم نے جائے گل,چھانی چمن کی خاک نہ تھا نقش پائے گل,Meer Taqi Meer
اللہ رے عندلیب کی آواز دل خراش,جی ہی نکل گیا جو کہا ان نے ہائے گل,Meer Taqi Meer
مقدور تک شراب سے رکھ انکھڑیوں میں رنگ,یہ چشمک پیالہ ہے ساقی ہوائے گل,Meer Taqi Meer
یہ دیکھ سینہ داغ سے رشک چمن ہے یاں,بلبل ستم ہوا نہ جو تو نے بھی کھائے گل,Meer Taqi Meer
بلبل ہزار جی سے خریدار اس کی ہے,اے گل فروش کریو سمجھ کر بہائے گل,Meer Taqi Meer
نکلا ہے ایسی خاک سے کس سادہ رو کی یہ,قابل درود بھیجنے کے ہے صفائے گل,Meer Taqi Meer
